reviews/content,cleaned_review,sentiment
Absolutely love this serum! My skin has never looked better. The texture is so lightweight and it absorbs instantly. Will definitely repurchase.,absolutely love this serum my skin has never looked better the texture is so lightweight and it absorbs instantly will definitely repurchase,positive
I've been using this moisturizer for two weeks and already seeing a difference in my skin texture. Highly recommend for dry skin types.,i ve been using this moisturizer for two weeks and already seeing a difference in my skin texture highly recommend for dry skin types,neutral
Good product but takes a while to see results. I've been using it for about a month and just starting to notice minor improvements.,good product but takes a while to see results i ve been using it for about a month and just starting to notice minor improvements,positive
This eye cream is incredible. Dark circles are visibly reduced after just one week. A little goes a long way so the bottle lasts forever.,this eye cream is incredible dark circles are visibly reduced after just one week a little goes a long way so the bottle lasts forever,positive
Not impressed. The product broke me out after the first use. Returned it immediately. Very disappointing for the price.,not impressed the product broke me out after the first use returned it immediately very disappointing for the price,negative
Shipping was super fast and the packaging is beautiful. The cleanser itself is gentle and leaves my skin feeling clean without that tight dry feeling.,shipping was super fast and the packaging is beautiful the cleanser itself is gentle and leaves my skin feeling clean without that tight dry feeling,positive
I have sensitive skin and was nervous to try this but it worked perfectly. No irritation at all and my skin looks so much more radiant.,i have sensitive skin and was nervous to try this but it worked perfectly no irritation at all and my skin looks so much more radiant,neutral
Smells amazing and feels luxurious. Not sure if it's actually doing anything for my wrinkles yet but I enjoy using it every night.,smells amazing and feels luxurious not sure if it s actually doing anything for my wrinkles yet but i enjoy using it every night,positive
"The SPF moisturizer is a game changer for my morning routine. Lightweight, no white cast, and keeps my skin hydrated all day.",the spf moisturizer is a game changer for my morning routine lightweight no white cast and keeps my skin hydrated all day,negative
Terrible experience. Product arrived leaking and customer service took forever to respond. Will not be ordering again.,terrible experience product arrived leaking and customer service took forever to respond will not be ordering again,negative
This toner has completely changed my skin. Pores look smaller and my skin feels so balanced. Worth every penny.,this toner has completely changed my skin pores look smaller and my skin feels so balanced worth every penny,positive
Pretty average. Does what it says but nothing special. I've used better products for less money.,pretty average does what it says but nothing special i ve used better products for less money,positive
"I bought this as a gift and the recipient absolutely loved it. Great packaging, smells wonderful, and really works.",i bought this as a gift and the recipient absolutely loved it great packaging smells wonderful and really works,positive
The retinol cream is too strong for my skin even at the lowest setting. Caused a lot of peeling and redness in the first two weeks.,the retinol cream is too strong for my skin even at the lowest setting caused a lot of peeling and redness in the first two weeks,positive
"Been using this SPF for six months now and won't go back to anything else. No breakouts, no greasiness, just great protection.",been using this spf for six months now and won t go back to anything else no breakouts no greasiness just great protection,positive
Finally a cleanser that doesn't strip my skin. My face feels clean and soft every morning. Repurchased three times already.,finally a cleanser that doesn t strip my skin my face feels clean and soft every morning repurchased three times already,positive
The serum oxidized really quickly and turned orange in the bottle. Expected better quality control for this price point.,the serum oxidized really quickly and turned orange in the bottle expected better quality control for this price point,positive
Decent moisturizer but nothing life-changing. Hydrates well and the scent is subtle. Would buy again if on sale.,decent moisturizer but nothing life changing hydrates well and the scent is subtle would buy again if on sale,neutral
I'm obsessed with this eye cream. My coworkers keep asking what I'm doing differently. The results speak for themselves.,i m obsessed with this eye cream my coworkers keep asking what i m doing differently the results speak for themselves,negative
Way too expensive for what you get. The bottle is tiny and runs out in about three weeks. Not worth it.,way too expensive for what you get the bottle is tiny and runs out in about three weeks not worth it,negative
This is my third bottle of the toner. Keeps my combination skin perfectly balanced and my pores look so much smaller.,this is my third bottle of the toner keeps my combination skin perfectly balanced and my pores look so much smaller,positive
Good moisturizer overall. Absorbs well and doesn't pill under makeup. Wish it had SPF built in though.,good moisturizer overall absorbs well and doesn t pill under makeup wish it had spf built in though,positive
The vitamin C serum stings a little when I first apply it but my skin looks brighter and more even after a few weeks.,the vitamin c serum stings a little when i first apply it but my skin looks brighter and more even after a few weeks,neutral
I've tried every eye cream on the market and this one is by far the best. The applicator tip is genius and so hygienic.,i ve tried every eye cream on the market and this one is by far the best the applicator tip is genius and so hygienic,positive
Broke out in hives after one use. I checked the ingredients and suspect it was the fragrance. Really disappointed.,broke out in hives after one use i checked the ingredients and suspect it was the fragrance really disappointed,negative
The retinol has smoothed out my fine lines noticeably. I started with every three days and worked up to nightly. Patience pays off.,the retinol has smoothed out my fine lines noticeably i started with every three days and worked up to nightly patience pays off,positive
Good SPF that doesn't feel heavy. Blends well with my foundation. Only giving four stars because the pump broke after two months.,good spf that doesn t feel heavy blends well with my foundation only giving four stars because the pump broke after two months,positive
Love the cleanser but wish it came in a bigger size. The travel size runs out too quickly for daily use.,love the cleanser but wish it came in a bigger size the travel size runs out too quickly for daily use,positive
The toner smells incredible and leaves my skin feeling refreshed. I use it morning and night and my skin has never looked better.,the toner smells incredible and leaves my skin feeling refreshed i use it morning and night and my skin has never looked better,positive
Arrived damaged and the seal was broken. Reached out to customer service and they sent a replacement within two days which I appreciated.,arrived damaged and the seal was broken reached out to customer service and they sent a replacement within two days which i appreciated,neutral
This moisturizer is perfect for winter. My skin was so dry and flaky and this fixed everything within a week.,this moisturizer is perfect for winter my skin was so dry and flaky and this fixed everything within a week,positive
Good ingredients but the consistency is too thick for my oily skin. Would probably work great for dry skin types.,good ingredients but the consistency is too thick for my oily skin would probably work great for dry skin types,positive
I was skeptical about the eye cream claims but the before and after photos on my phone don't lie. Genuinely impressive results.,i was skeptical about the eye cream claims but the before and after photos on my phone don t lie genuinely impressive results,positive
The SPF breaks me out unfortunately. Probably the zinc oxide. Love the brand otherwise and will try their other products.,the spf breaks me out unfortunately probably the zinc oxide love the brand otherwise and will try their other products,neutral
Repurchasing for the fourth time. This cleanser is a staple in my routine and I recommend it to everyone.,repurchasing for the fourth time this cleanser is a staple in my routine and i recommend it to everyone,neutral
The toner burned my skin on first use. Might be the AHAs. I have sensitive skin so probably not the right product for me.,the toner burned my skin on first use might be the ahas i have sensitive skin so probably not the right product for me,positive
Subtle results but consistent. After two months of using the serum my hyperpigmentation has faded significantly.,subtle results but consistent after two months of using the serum my hyperpigmentation has faded significantly,neutral
"Great moisturizer, great price. Does exactly what it promises and the packaging is eco-friendly which I love.",great moisturizer great price does exactly what it promises and the packaging is eco friendly which i love,positive
I bought the retinol on recommendation from my dermatologist and she was right. My skin texture has completely transformed.,i bought the retinol on recommendation from my dermatologist and she was right my skin texture has completely transformed,positive
"Fast shipping, beautiful unboxing experience, and the eye cream actually works. Really happy with this purchase.",fast shipping beautiful unboxing experience and the eye cream actually works really happy with this purchase,positive
The SPF moisturizer is good but leaves a slight white cast on my deeper skin tone. Wish the formula was more inclusive.,the spf moisturizer is good but leaves a slight white cast on my deeper skin tone wish the formula was more inclusive,positive
Perfect cleanser for my acne-prone skin. Doesn't clog pores and keeps breakouts at bay without over-drying.,perfect cleanser for my acne prone skin doesn t clog pores and keeps breakouts at bay without over drying,positive
The toner is great but I wish it came with a dropper instead of just a cap. Hard to control how much product comes out.,the toner is great but i wish it came with a dropper instead of just a cap hard to control how much product comes out,positive
Not suitable for sensitive skin despite what the label says. Caused significant redness and irritation for me.,not suitable for sensitive skin despite what the label says caused significant redness and irritation for me,neutral
The vitamin C serum gave me the most even skin tone I've ever had. People keep asking if I've had work done.,the vitamin c serum gave me the most even skin tone i ve ever had people keep asking if i ve had work done,positive
Retinol is working slowly but surely. I'm three months in and my crow's feet are noticeably softer. Worth the patience.,retinol is working slowly but surely i m three months in and my crow s feet are noticeably softer worth the patience,positive
I've gifted this eye cream to my mom and sister. We're all obsessed. It's a staple in our family now.,i ve gifted this eye cream to my mom and sister we re all obsessed it s a staple in our family now,neutral
The SPF smells incredible and works great under makeup. Finally found my holy grail morning moisturizer.,the spf smells incredible and works great under makeup finally found my holy grail morning moisturizer,positive
Cleanser lathers beautifully and rinses clean. My skin feels balanced and fresh every single morning.,cleanser lathers beautifully and rinses clean my skin feels balanced and fresh every single morning,positive
Decent toner but I've had better. The price is a little high for what you get compared to similar products.,decent toner but i ve had better the price is a little high for what you get compared to similar products,positive
